date,recovered
20200514,246414.0
20200513,243430.0
20200512,238857.0
20200511,232142.0
20200510,215591.0
20200509,211976.0
20200508,198459.0
20200507,194528.0
20200506,189425.0
20200505,189336.0
20200504,186752.0
20200503,179733.0
20200502,174987.0
20200501,163644.0
20200430,154648.0
20200429,147165.0
20200428,139041.0
20200427,121323.0
20200426,116529.0
20200425,112539.0
20200424,101296.0
20200423,96921.0
20200422,92978.0
20200421,72842.0
20200420,69493.0
20200419,67205.0
20200418,62840.0
20200417,53533.0
20200416,48851.0
20200415,43435.0
20200414,39268.0
20200413,35372.0
20200412,34081.0
20200411,31567.0
20200410,28997.0
20200409,24819.0
20200408,21102.0
20200407,18443.0
20200406,16554.0
20200405,14513.0
20200404,12816.0
20200403,10861.0
20200402,8586.0
20200401,7084.0
20200331,5666.0
20200330,4560.0
20200329,4052.0
20200328,3143.0
20200327,2418.0
20200326,97.0
20200325,146.0
20200324,0.0
20200323,0.0
20200322,0.0
20200321,0.0
20200320,0.0
20200319,0.0
20200318,0.0
20200317,0.0
20200316,0.0
20200315,0.0
20200314,0.0
20200313,0.0
20200312,0.0
20200311,0.0
20200310,0.0
20200309,0.0
20200308,0.0
20200307,0.0
20200306,0.0
20200305,0.0
20200304,0.0
20200303,0.0
20200302,0.0
20200301,0.0
20200229,0.0
20200228,0.0
20200227,0.0
20200226,0.0
20200225,0.0
20200224,0.0
20200223,0.0
20200222,0.0
20200221,0.0
20200220,0.0
20200219,0.0
20200218,0.0
20200217,0.0
20200216,0.0
20200215,0.0
20200214,0.0
20200213,0.0
20200212,0.0
20200211,0.0
20200210,0.0
20200209,0.0
20200208,0.0
20200207,0.0
20200206,0.0
20200205,0.0
20200204,0.0
20200203,0.0
20200202,0.0
20200201,0.0
20200131,0.0
20200130,0.0
20200129,0.0
20200128,0.0
20200127,0.0
20200126,0.0
20200125,0.0
20200124,0.0
20200123,0.0
20200122,0.0
